B01, Trade, 86034.850, 120, B01, S00, 1
B01, Trade, 86041.900, 134, B01, S16, 1
B01, Trade, 86048.367, 108, B01, S14, 1
B01, Trade, 86060.567, 105, S21, B01, 1
B01, Trade, 86073.733, 134, B01, S02, 1
B01, Trade, 86081.633, 118, S20, B01, 1
B01, Trade, 86097.033, 86, B01, S16, 1
B01, Trade, 86099.300, 105, B01, S14, 1
B01, Trade, 86103.183, 105, B01, S29, 1
B01, Trade, 86121.683, 125, S21, B01, 1
B01, Trade, 86148.483, 132, S02, B01, 1
B01, Trade, 86161.967, 114, B01, S17, 1
B01, Trade, 86170.417, 134, B01, S05, 1
B01, Trade, 86178.600, 119, B01, S17, 1
B01, Trade, 86198.433, 121, S25, B01, 1
B01, Trade, 86223.200, 118, B01, S27, 1
B01, Trade, 86227.633, 127, B01, S17, 1
B01, Trade, 86235.533, 135, S19, B01, 1
B01, Trade, 86240.300, 120, S04, B01, 1
B01, Trade, 86241.483, 116, S05, B01, 1
B01, Trade, 86249.050, 95, B01, S13, 1
B01, Trade, 86253.833, 128, S09, B01, 1
B01, Trade, 86264.083, 118, S19, B01, 1
B01, Trade, 86291.533, 114, B01, S29, 1
B01, Trade, 86299.933, 126, B01, S24, 1
B01, Trade, 86322.233, 126, B01, S06, 1
B01, Trade, 86360.150, 127, B01, S12, 1
B01, Trade, 86366.200, 112, B01, S06, 1
B01, Trade, 86367.500, 126, S19, B01, 1
B01, Trade, 86388.583, 97, S17, B01, 1
B02, 100
B02, Trade, 85821.583, 122, B02, S08, 1
B02, Trade, 85830.600, 120, B02, S16, 1
B02, Trade, 85834.050, 111, B02, S00, 1
B02, Trade, 85841.700, 120, B02, S15, 1
B02, Trade, 85848.150, 140, B02, S13, 1
B02, Trade, 85849.350, 123, B02, S04, 1
B02, Trade, 85854.250, 119, B02, S19, 1
B02, Trade, 85860.950, 126, B02, S24, 1
B02, Trade, 85867.000, 63, B02, S16, 1
B02, Trade, 85872.133, 123, B02, S11, 1
B02, Trade, 85878.300, 126, B02, S16, 1
B02, Trade, 85882.133, 124, B02, S29, 1
B02, Trade, 85891.283, 127, B02, S29, 1
B02, Trade, 85897.517, 99, B02, S16, 1
B02, Trade, 85905.650, 101, B02, S28, 1
B02, Trade, 85909.383, 140, B02, S16, 1
B02, Trade, 85910.633, 140, B02, S13, 1
B02, Trade, 85919.017, 125, B02, S09, 1
B02, Trade, 85925.017, 93, B02, S24, 1
B02, Trade, 85932.567, 115, B02, S04, 1
B02, Trade, 85938.017, 114, B02, S29, 1
B02, Trade, 85943.650, 116, B02, S06, 1
B02, Trade, 85949.617, 113, B02, S13, 1
B02, Trade, 85951.133, 133, B02, S11, 1
B02, Trade, 85961.950, 114, B02, S28, 1
B02, Trade, 85966.617, 117, B02, S05, 1
B02, Trade, 85970.867, 98, B02, S29, 1
B02, Trade, 85978.600, 110, B02, S29, 1
B02, Trade, 85981.833, 115, B02, S06, 1
B02, Trade, 85985.500, 131, B02, S11, 1
B02, Trade, 85998.800, 104, B02, S13, 1
B02, Trade, 86002.883, 119, B02, S14, 1
B02, Trade, 86009.167, 115, B02, S10, 1
B02, Trade, 86011.050, 138, B02, S14, 1
B02, Trade, 86020.017, 132, B02, S11, 1
B02, Trade, 86024.617, 134, B02, S26, 1
B02, Trade, 86034.950, 134, S03, B02, 1
B02, Trade, 86044.167, 105, B02, S17, 1
B02, Trade, 86046.417, 119, B02, S08, 1
B02, Trade, 86052.817, 128, B02, S14, 1
B02, Trade, 86056.383, 140, B02, S29, 1
B02, Trade, 86065.267, 118, B02, S24, 1
B02, Trade, 86068.000, 122, B02, S12, 1
B02, Trade, 86075.150, 135, B02, S11, 1
B02, Trade, 86075.667, 129, B02, S27, 1
B02, Trade, 86083.800, 87, B02, S00, 1
B02, Trade, 86087.833, 127, B02, S16, 1
B02, Trade, 86094.217, 118, B02, S06, 1
B02, Trade, 86096.833, 97, B02, S26, 1
B02, Trade, 86105.217, 103, B02, S08, 1
B02, Trade, 86110.050, 140, B02, S00, 1
B02, Trade, 86114.983, 129, B02, S23, 1
B02, Trade, 86119.500, 114, B02, S17, 1
B02, Trade, 86125.967, 121, B02, S28, 1
B02, Trade, 86128.250, 140, B02, S12, 1
B02, Trade, 86131.300, 116, B02, S17, 1
B02, Trade, 86138.800, 123, B02, S29, 1
B02, Trade, 86141.967, 140, B02, S00, 1
B02, Trade, 86149.333, 140, B02, S14, 1
B02, Trade, 86154.267, 140, B02, S09, 1
B02, Trade, 86157.183, 116, B02, S15, 1
B02, Trade, 86168.183, 132, B02, S29, 1
B02, Trade, 86174.117, 114, B02, S16, 1
B02, Trade, 86187.517, 120, B02, S14, 1
B02, Trade, 86194.317, 121, B02, S22, 1
B02, Trade, 86201.917, 132, B02, S13, 1
B02, Trade, 86206.500, 117, B02, S00, 1
B02, Trade, 86208.467, 114, B02, S17, 1
B02, Trade, 86214.733, 111, B02, S06, 1
B02, Trade, 86220.417, 113, B02, S12, 1
B02, Trade, 86225.167, 103, B02, S14, 1
B02, Trade, 86233.817, 120, B02, S23, 1
B02, Trade, 86237.083, 132, B02, S00, 1
B02, Trade, 86246.417, 90, B02, S08, 1
B02, Trade, 86252.167, 119, B02, S28, 1
B02, Trade, 86260.317, 116, B02, S28, 1
B02, Trade, 86270.650, 110, B02, S24, 1
B02, Trade, 86273.133, 108, B02, S02, 1
B02, Trade, 86279.883, 130, B02, S28, 1
B02, Trade, 86285.500, 94, B02, S04, 1
B02, Trade, 86289.917, 128, B02, S24, 1
B02, Trade, 86294.733, 97, B02, S11, 1
B02, Trade, 86300.050, 122, B02, S25, 1
B02, Trade, 86303.550, 125, B02, S12, 1
B02, Trade, 86309.900, 127, B02, S29, 1
B02, Trade, 86313.950, 120, B02, S11, 1
B02, Trade, 86321.083, 140, B02, S15, 1
B02, Trade, 86322.833, 118, B02, S07, 1
B02, Trade, 86332.767, 135, B02, S24, 1
B02, Trade, 86336.083, 102, B02, S28, 1
B02, Trade, 86338.467, 92, B02, S24, 1
B02, Trade, 86346.717, 112, B02, S24, 1
B02, Trade, 86351.183, 127, B02, S16, 1
B02, Trade, 86353.733, 123, B02, S07, 1
B02, Trade, 86362.450, 95, B02, S11, 1
B02, Trade, 86373.267, 140, B02, S11, 1
B02, Trade, 86382.083, 140, B02, S17, 1
B02, Trade, 86386.600, 134, B02, S00, 1
B02, Trade, 86389.950, 98, B02, S07, 1
B02, Trade, 86398.083, 96, B02, S22, 1
B03, 100
B03, Trade, 85257.467, 117, B03, S04, 1
B03, Trade, 85266.433, 126, B03, S16, 1
B03, Trade, 85274.350, 100, S12, B03, 1
B03, Trade, 85282.383, 87, B03, S17, 1
B03, Trade, 85289.983, 132, S28, B03, 1
B03, Trade, 85316.417, 124, B03, S24, 1
B03, Trade, 85321.733, 123, S01, B03, 1
B03, Trade, 85327.183, 124, S03, B03, 1
B03, Trade, 85340.233, 110, S06, B03, 1
B03, Trade, 85345.767, 109, B03, S00, 1
B03, Trade, 85363.617, 108, B03, S24, 1
B03, Trade, 85371.850, 113, B03, S26, 1
B03, Trade, 85390.733, 108, B03, S00, 1
B03, Trade, 85393.833, 106, B03, S24, 1
B03, Trade, 85412.100, 107, B03, S04, 1
B03, Trade, 85414.467, 84, B03, S14, 1
B03, Trade, 85428.767, 121, B03, S11, 1
B03, Trade, 85438.150, 122, B03, S02, 1
B03, Trade, 85447.317, 97, B03, S24, 1
B03, Trade, 85450.633, 103, B03, S27, 1
B03, Trade, 85454.400, 111, B03, S14, 1
B03, Trade, 85475.400, 114, B03, S29, 1
B03, Trade, 85481.450, 108, B03, S00, 1
B03, Trade, 85500.667, 126, B03, S15, 1
B03, Trade, 85512.433, 114, S21, B03, 1
B03, Trade, 85522.900, 117, B03, S04, 1
B03, Trade, 85538.800, 117, B03, S24, 1
