B01, Trade, 86231.433, 129, B01, S21, 1
B01, Trade, 86234.417, 118, B01, S23, 1
B01, Trade, 86238.550, 130, B01, S11, 1
B01, Trade, 86243.533, 138, B01, S03, 1
B01, Trade, 86248.133, 127, B01, S05, 1
B01, Trade, 86257.150, 122, B01, S03, 1
B01, Trade, 86259.633, 114, B01, S01, 1
B01, Trade, 86267.917, 114, B01, S15, 1
B01, Trade, 86274.100, 125, B01, S11, 1
B01, Trade, 86281.283, 129, B01, S14, 1
B01, Trade, 86287.200, 137, B01, S25, 1
B01, Trade, 86294.650, 125, B01, S10, 1
B01, Trade, 86297.700, 99, B01, S02, 1
B01, Trade, 86303.683, 125, B01, S21, 1
B01, Trade, 86313.067, 140, B01, S21, 1
B01, Trade, 86314.817, 121, B01, S27, 1
B01, Trade, 86321.050, 115, B01, S26, 1
B01, Trade, 86322.767, 117, B01, S03, 1
B01, Trade, 86329.850, 140, B01, S28, 1
B01, Trade, 86334.933, 127, B01, S07, 1
B01, Trade, 86339.383, 108, B01, S15, 1
B01, Trade, 86344.533, 113, B01, S21, 1
B01, Trade, 86350.350, 140, B01, S24, 1
B01, Trade, 86354.167, 127, B01, S01, 1
B01, Trade, 86360.617, 126, B01, S22, 1
B01, Trade, 86365.700, 140, B01, S15, 1
B01, Trade, 86370.700, 117, B01, S25, 1
B01, Trade, 86376.283, 127, B01, S15, 1
B01, Trade, 86378.917, 107, B01, S18, 1
B01, Trade, 86383.867, 84, B01, S09, 1
B01, Trade, 86392.767, 136, B01, S29, 1
B01, Trade, 86396.000, 110, B01, S25, 1
B01, Trade, 86397.517, 121, B01, S10, 1
B02, 100
B02, Trade, 85871.833, 134, S19, B02, 1
B02, Trade, 85877.917, 134, S13, B02, 1
B02, Trade, 85882.367, 140, B02, S03, 1
B02, Trade, 85890.250, 137, B02, S01, 1
B02, Trade, 85899.217, 112, S09, B02, 1
B02, Trade, 85901.317, 103, S20, B02, 1
B02, Trade, 85905.767, 140, B02, S03, 1
B02, Trade, 85912.883, 131, S05, B02, 1
B02, Trade, 85918.617, 140, B02, S24, 1
B02, Trade, 85923.483, 137, S01, B02, 1
B02, Trade, 85926.533, 135, S13, B02, 1
B02, Trade, 85930.750, 134, S19, B02, 1
B02, Trade, 85937.433, 138, B02, S26, 1
