Trd, 084110.250, 154
Trd, 084115.700, 135
Trd, 084198.700, 477
Trd, 084204.550, 476
Trd, 084248.300, 252
Trd, 084248.450, 217
Trd, 084248.950, 194
Trd, 084249.650, 180
Trd, 084250.200, 170
Trd, 084250.650, 175
Trd, 084256.950, 173
Trd, 084257.900, 171
Trd, 084298.500, 222
Trd, 084298.700, 153
Trd, 084298.750, 156
Trd, 084299.300, 240
Trd, 084300.200, 240
Trd, 084300.300, 201
Trd, 084305.300, 242
Trd, 084378.850, 267
Trd, 084379.050, 332
Trd, 084379.600, 344
Trd, 084379.700, 352
Trd, 084379.750, 309
Trd, 084380.900, 317
Trd, 084380.950, 300
Trd, 084409.150, 257
Trd, 084409.300, 276
Trd, 084409.550, 288
Trd, 084409.750, 284
Trd, 084410.750, 235
Trd, 084410.850, 227
Trd, 084416.250, 227
Trd, 084417.550, 227
Trd, 084439.200, 469
Trd, 084439.800, 472
Trd, 084440.050, 470
Trd, 084440.850, 482
Trd, 084441.500, 479
Trd, 084442.550, 478
Trd, 084445.150, 477
Trd, 084445.600, 482
Trd, 084470.000, 484
Trd, 084470.500, 460
Trd, 084499.450, 304
Trd, 084499.750, 313
Trd, 084500.250, 286
Trd, 084500.650, 284
Trd, 084501.300, 286
Trd, 084503.250, 290
Trd, 084504.650, 288
Trd, 084529.600, 256
Trd, 084529.850, 295
Trd, 084529.900, 270
Trd, 084530.250, 225
Trd, 084531.100, 256
Trd, 084532.700, 256
Trd, 084536.400, 258
Trd, 084539.400, 259
Trd, 084600.000, 490
Trd, 084600.150, 431
Trd, 084600.300, 426
Trd, 084600.500, 433
Trd, 084601.200, 448
Trd, 084601.450, 437
Trd, 084601.600, 437
Trd, 084602.250, 435
Trd, 084605.800, 433
Trd, 084670.400, 394
Trd, 084670.500, 416
Trd, 084670.800, 376
Trd, 084671.050, 373
Trd, 084671.300, 364
Trd, 084671.750, 362
Trd, 084672.650, 386
Trd, 084672.950, 382
Trd, 084678.450, 399
Trd, 084710.700, 303
Trd, 084710.750, 279
Trd, 084710.800, 172
Trd, 084710.950, 173
Trd, 084711.300, 257
Trd, 084715.600, 257
Trd, 084719.900, 255
Trd, 084751.250, 493
Trd, 084801.100, 489
Trd, 084801.600, 480
Trd, 084801.850, 482
Trd, 084802.200, 436
Trd, 084806.500, 453
Trd, 084901.600, 482
Trd, 084901.900, 476
Trd, 084902.050, 420
Trd, 084903.050, 453
Trd, 084903.250, 441
Trd, 084905.650, 439
Trd, 084906.350, 435
Trd, 084907.250, 436
Trd, 085022.100, 282
Trd, 085022.500, 256
Trd, 085022.800, 195
Trd, 085023.350, 194
Trd, 085023.750, 196
Trd, 085024.250, 184
Trd, 085025.800, 184
Trd, 085030.250, 184
