B01, Trade, 86232.483, 140, B01, S25, 1
B01, Trade, 86238.600, 137, B01, S29, 1
B01, Trade, 86243.450, 135, S27, B01, 1
B01, Trade, 86249.000, 114, S13, B01, 1
B01, Trade, 86257.850, 97, S26, B01, 1
B01, Trade, 86266.467, 127, S16, B01, 1
B01, Trade, 86269.617, 130, S17, B01, 1
B01, Trade, 86277.983, 119, S14, B01, 1
B01, Trade, 86282.267, 138, S26, B01, 1
B01, Trade, 86288.983, 125, S19, B01, 1
B01, Trade, 86295.650, 130, S18, B01, 1
B01, Trade, 86300.750, 140, B01, S25, 1
B01, Trade, 86302.700, 130, S13, B01, 1
B01, Trade, 86310.883, 133, S14, B01, 1
B01, Trade, 86315.667, 140, B01, S08, 1
B01, Trade, 86320.033, 127, S01, B01, 1
B01, Trade, 86324.900, 139, B01, S25, 1
B01, Trade, 86332.183, 138, S10, B01, 1
B01, Trade, 86336.083, 125, S19, B01, 1
B01, Trade, 86338.517, 117, S16, B01, 1
B01, Trade, 86341.783, 139, B01, S03, 1
B01, Trade, 86350.367, 140, B01, S05, 1
B01, Trade, 86355.633, 115, S14, B01, 1
B01, Trade, 86361.733, 137, B01, S22, 1
B01, Trade, 86367.050, 140, B01, S09, 1
B01, Trade, 86371.250, 140, B01, S03, 1
B01, Trade, 86376.500, 125, S24, B01, 1
B01, Trade, 86380.333, 139, B01, S29, 1
B01, Trade, 86386.900, 140, B01, S24, 1
B01, Trade, 86392.350, 140, B01, S23, 1
B01, Trade, 86399.500, 140, B01, S18, 1
B02, 100
B02, Trade, 84855.367, 93, B02, S21, 1
B02, Trade, 84874.933, 104, B02, S25, 1
B02, Trade, 84901.200, 112, B02, S03, 1
B02, Trade, 84913.867, 99, B02, S17, 1
B02, Trade, 84919.883, 101, B02, S03, 1
B02, Trade, 84930.717, 108, B02, S23, 1
B02, Trade, 84935.833, 104, B02, S24, 1
B02, Trade, 84971.750, 124, B02, S22, 1
B02, Trade, 84977.067, 94, B02, S18, 1
B02, Trade, 84985.183, 112, B02, S28, 1
B02, Trade, 84994.333, 125, B02, S23, 1
B02, Trade, 85000.450, 125, S27, B02, 1
B02, Trade, 85016.183, 120, B02, S28, 1
B02, Trade, 85025.300, 119, B02, S18, 1
B02, Trade, 85032.950, 90, B02, S04, 1
B02, Trade, 85062.783, 98, B02, S04, 1
B02, Trade, 85069.333, 128, B02, S25, 1
B02, Trade, 85073.350, 114, B02, S05, 1
B02, Trade, 85106.250, 105, B02, S11, 1
B02, Trade, 85107.500, 106, B02, S04, 1
B02, Trade, 85111.333, 121, B02, S24, 1
B02, Trade, 85126.867, 121, B02, S08, 1
B02, Trade, 85133.967, 133, B02, S04, 1
B02, Trade, 85140.067, 119, B02, S02, 1
B02, Trade, 85148.583, 108, B02, S07, 1
B02, Trade, 85178.783, 119, B02, S23, 1
B02, Trade, 85189.050, 112, B02, S02, 1
B02, Trade, 85208.850, 120, B02, S07, 1
B02, Trade, 85225.850, 83, B02, S00, 1
B02, Trade, 85252.100, 123, B02, S18, 1
B02, Trade, 85259.233, 127, B02, S03, 1
B02, Trade, 85268.967, 100, B02, S23, 1
B02, Trade, 85286.683, 92, B02, S07, 1
B02, Trade, 85292.333, 124, S26, B02, 1
B02, Trade, 85313.250, 116, B02, S22, 1
B02, Trade, 85315.350, 113, S13, B02, 1
B02, Trade, 85341.183, 112, B02, S21, 1
B02, Trade, 85361.283, 115, B02, S05, 1
B02, Trade, 85376.167, 95, B02, S17, 1
B02, Trade, 85410.867, 111, B02, S20, 1
B02, Trade, 85413.517, 123, B02, S25, 1
B02, Trade, 85427.667, 137, B02, S07, 1
