B00, 1
B04, Trade, 45310.850, 203, B04, S00, 1
B04, Trade, 45633.450, 214, S04, B04, 1
B04, Trade, 46376.975, 212, B04, S01, 1
B04, Trade, 46601.475, 207, B04, S00, 1
B04, Trade, 46620.400, 213, B04, S00, 1
B04, Trade, 46929.075, 203, B04, S00, 1
B04, Trade, 47340.575, 214, B04, S00, 1
B04, Trade, 47537.450, 208, B04, S00, 1
B04, Trade, 47652.250, 203, B04, S00, 1
B04, Trade, 47669.625, 208, B04, S00, 1
B04, Trade, 49059.500, 210, B04, S00, 1
B04, Trade, 49208.225, 213, B04, S00, 1
B04, Trade, 51052.475, 214, B04, S01, 1
B04, Trade, 51997.350, 211, B04, S02, 1
B04, Trade, 52234.800, 205, S01, B04, 1
B04, Trade, 52361.775, 213, B04, S01, 1
B04, Trade, 52680.250, 214, B04, S01, 1
B04, Trade, 54221.725, 213, B04, S01, 1
B04, Trade, 54382.725, 214, B04, S04, 1
B04, Trade, 54536.150, 205, B04, S01, 1
B04, Trade, 55134.375, 208, B04, S01, 1
B04, Trade, 55141.875, 211, B04, S01, 1
B04, Trade, 57272.425, 208, B04, S01, 1
B04, Trade, 63445.350, 91, B04, S01, 1
B04, Trade, 64169.725, 90, B04, S00, 1
B04, Trade, 65008.375, 87, B04, S00, 1
B04, Trade, 83228.575, 86, B04, S00, 1
B04, Trade, 83347.625, 91, B04, S00, 1
B04, Trade, 83687.850, 83, B04, S00, 1
B04, Trade, 85188.475, 85, B04, S00, 1
B05, 100
B05, Trade, 31695.075, 201, B05, S00, 1
B05, Trade, 31871.625, 212, B05, S00, 1
B05, Trade, 32066.450, 203, S01, B05, 1
B05, Trade, 32140.025, 208, S00, B05, 1
B05, Trade, 32156.100, 202, S00, B05, 1
B05, Trade, 32168.975, 218, S01, B05, 1
B05, Trade, 32386.525, 212, B05, S00, 1
B05, Trade, 32400.825, 218, B05, S00, 1
B05, Trade, 32558.575, 209, B05, S01, 1
B05, Trade, 32573.125, 209, B05, S00, 1
B05, Trade, 32599.975, 204, S00, B05, 1
B05, Trade, 32623.875, 208, B05, S01, 1
B05, Trade, 32628.525, 207, B05, S01, 1
B05, Trade, 32790.700, 202, B05, S00, 1
B05, Trade, 32802.625, 215, S04, B05, 1
B05, Trade, 32858.300, 217, B05, S04, 1
B05, Trade, 33021.950, 208, B05, S00, 1
B05, Trade, 33034.825, 206, B05, S00, 1
B05, Trade, 33100.125, 203, S00, B05, 1
B05, Trade, 33219.100, 209, B05, S00, 1
B05, Trade, 33328.925, 215, S04, B05, 1
B05, Trade, 33362.900, 217, B05, S00, 1
B05, Trade, 33416.575, 215, B05, S04, 1
B05, Trade, 33501.675, 212, B05, S01, 1
B05, Trade, 33528.975, 206, B05, S00, 1
B05, Trade, 33567.450, 218, B05, S00, 1
B05, Trade, 33685.275, 214, B05, S01, 1
B05, Trade, 33981.125, 204, B05, S00, 1
B05, Trade, 33984.500, 214, B05, S00, 1
B05, Trade, 34011.575, 217, B05, S00, 1
B05, Trade, 34025.800, 216, B05, S04, 1
B05, Trade, 34153.700, 212, B05, S00, 1
B05, Trade, 34201.550, 200, S00, B05, 1
B05, Trade, 34264.375, 217, B05, S04, 1
B05, Trade, 34272.825, 208, B05, S01, 1
B05, Trade, 34372.800, 216, B05, S00, 1
B05, Trade, 34496.875, 212, B05, S00, 1
B05, Trade, 34566.750, 200, S00, B05, 1
B05, Trade, 34581.775, 211, B05, S01, 1
B05, Trade, 34710.275, 215, S04, B05, 1
B05, Trade, 34983.675, 217, B05, S04, 1
B05, Trade, 35024.200, 213, S01, B05, 1
B05, Trade, 35072.375, 218, B05, S00, 1
B05, Trade, 35129.750, 206, B05, S00, 1
B05, Trade, 35154.925, 214, S04, B05, 1
B05, Trade, 35324.250, 200, S00, B05, 1
B05, Trade, 35381.250, 203, S01, B05, 1
B05, Trade, 35428.350, 200, S00, B05, 1
B05, Trade, 35464.775, 200, S00, B05, 1
B05, Trade, 35504.750, 205, B05, S01, 1
B05, Trade, 35530.575, 203, B05, S00, 1
B05, Trade, 35541.900, 217, B05, S00, 1
B05, Trade, 35594.325, 205, B05, S00, 1
B05, Trade, 35635.825, 209, B05, S00, 1
B05, Trade, 35660.150, 214, S04, B05, 1
B05, Trade, 35674.300, 214, B05, S00, 1
B05, Trade, 35683.425, 216, B05, S00, 1
B05, Trade, 35783.800, 215, B05, S04, 1
B05, Trade, 35872.650, 209, B05, S00, 1
B05, Trade, 35925.225, 209, B05, S00, 1
B05, Trade, 35944.425, 210, B05, S00, 1
B05, Trade, 43333.800, 210, S01, B05, 1
B05, Trade, 43959.150, 212, B05, S00, 1
B05, Trade, 44132.775, 214, B05, S04, 1
B05, Trade, 44583.850, 204, B05, S00, 1
